Team Name,Season,Total Games Played,Total Wins,Total Draws,Total Loses,Total Goals,Average Goal Scored,Total Goals Conceded,Average Goals Conceded,Biggest Win Streak,Biggest Draw Streak,Biggest Losing Streak,Total Clean Sheet Games,Total Games with no goals,Total Penalties Scored,Total Penalties Missed
Vardar Skopje,2019,23,13,7,3,33,1.4,14,0.6,6,2,1,14,5,5,0
Shkendija,2019,23,10,5,8,38,1.7,20,0.9,3,1,2,9,9,6,0
FK Rabotnicki,2019,23,8,4,11,21,0.9,29,1.3,2,1,3,7,7,0,0
Shkupi 1927,2019,23,7,8,8,28,1.2,28,1.2,1,2,2,8,6,3,0
Akademija Pandev,2019,23,7,7,9,20,0.9,20,0.9,3,3,5,10,10,1,0
Makedonija GjP,2019,23,7,8,8,24,1.0,28,1.2,2,2,2,7,9,2,0
Renova,2019,23,9,4,10,25,1.1,33,1.4,2,1,3,5,9,4,0
Sileks,2019,23,10,6,7,24,1.0,21,0.9,3,3,3,12,8,3,0
Borec,2019,23,7,6,10,20,0.9,31,1.3,2,2,2,7,10,3,0
Struga,2019,23,6,7,10,19,0.8,28,1.2,2,2,3,4,10,1,0
Vardar Skopje,2020,33,7,10,16,32,1.0,60,1.8,2,3,4,7,12,3,0
Shkendija,2020,33,22,9,2,69,2.1,26,0.8,8,2,1,13,4,8,0
FK Rabotnicki,2020,33,11,15,7,45,1.4,39,1.2,2,3,2,10,7,3,0
Shkupi 1927,2020,33,16,11,6,41,1.2,24,0.7,3,3,1,17,10,5,0
Akademija Pandev,2020,33,12,5,16,32,1.0,36,1.1,3,1,3,9,14,7,0
Makedonija GjP,2020,33,16,7,10,53,1.6,43,1.3,3,2,2,10,7,7,0
Renova,2020,33,8,12,13,36,1.1,46,1.4,2,3,4,10,11,5,0
Sileks,2020,33,10,6,17,49,1.5,45,1.4,2,2,3,7,11,2,0
Borec,2020,33,11,7,15,32,1.0,36,1.1,2,1,5,10,12,3,0
Struga,2020,33,15,12,6,39,1.2,24,0.7,2,2,1,14,9,8,0
Pelister,2020,33,12,9,12,34,1.0,38,1.2,3,3,6,14,11,6,0
Belasica,2020,33,4,5,24,23,0.7,68,2.1,2,1,7,3,16,6,0
Shkendija,2021,33,16,13,4,49,1.5,25,0.8,4,2,1,17,6,5,0
FK Rabotnicki,2021,33,13,4,16,29,0.9,35,1.1,2,1,3,10,14,4,0
Shkupi 1927,2021,33,23,7,3,66,2.0,21,0.6,6,2,1,20,5,8,0
Akademija Pandev,2021,33,19,7,7,55,1.7,32,1.0,3,1,1,14,7,10,0
Makedonija GjP,2021,33,17,6,10,46,1.4,44,1.3,6,1,3,9,4,10,0
Renova,2021,33,12,12,9,42,1.3,29,0.9,3,3,2,10,10,4,0
Borec,2021,33,5,6,22,25,0.8,66,2.0,1,2,5,3,14,2,0
Struga,2021,33,12,11,10,33,1.0,33,1.0,2,3,3,12,10,4,0
Pelister,2021,33,2,8,23,16,0.5,54,1.6,1,3,5,5,21,1,0
Belasica,2021,1,0,0,1,1,1.0,2,2.0,0,0,1,0,0,0,0
Skopje,2021,34,10,8,16,29,0.9,46,1.4,2,2,3,10,15,1,0
Bregalnica Štip,2021,33,12,9,12,45,1.4,47,1.4,3,4,1,9,10,6,0
Tikveš,2021,34,10,7,17,40,1.2,39,1.1,2,2,3,9,12,5,0
Voska Sport,2021,1,0,0,1,1,1.0,4,4.0,0,0,1,0,0,0,0
Shkendija,2022,30,16,9,5,43,1.4,23,0.8,6,2,2,12,8,0,0
FK Rabotnicki,2022,30,11,4,15,37,1.2,48,1.6,4,1,4,10,10,1,0
Shkupi 1927,2022,30,17,7,6,62,2.1,27,0.9,5,2,2,13,5,2,0
Akademija Pandev,2022,30,6,10,14,34,1.1,38,1.3,1,3,4,8,10,2,0
Makedonija GjP,2022,30,10,9,11,37,1.2,33,1.1,2,2,2,9,11,3,0
Sileks,2022,30,13,9,8,41,1.4,34,1.1,2,2,2,11,9,2,0
Struga,2022,30,20,8,2,53,1.8,19,0.6,8,3,2,14,4,7,0
Skopje,2022,30,4,10,16,17,0.6,44,1.5,1,4,4,9,17,2,0
Bregalnica Štip,2022,30,10,11,9,33,1.1,34,1.1,2,2,4,12,12,1,0
Tikveš,2022,30,11,7,12,40,1.3,37,1.2,2,2,3,12,11,2,0
Pobeda,2022,30,3,4,23,18,0.6,78,2.6,1,2,3,4,17,0,0
Vardar Skopje,2023,34,11,7,16,30,0.9,43,1.3,2,2,4,12,14,5,0
Shkendija,2023,33,18,10,5,55,1.7,27,0.8,4,3,1,14,5,3,0
FK Rabotnicki,2023,33,12,6,15,29,0.9,34,1.0,2,1,4,14,13,4,0
Shkupi 1927,2023,33,17,11,5,42,1.3,23,0.7,3,3,2,19,11,2,0
Akademija Pandev,2023,33,11,9,13,34,1.0,33,1.0,4,2,2,10,12,0,0
Makedonija GjP,2023,33,8,5,20,29,0.9,44,1.3,2,2,7,6,15,3,0
Sileks,2023,33,10,13,10,36,1.1,40,1.2,2,3,2,8,11,4,0
Struga,2023,33,20,4,9,56,1.7,33,1.0,4,3,2,12,5,7,0
Bregalnica Štip,2023,33,6,10,17,27,0.8,50,1.5,1,3,3,6,14,1,0
Tikveš,2023,33,12,8,13,41,1.2,40,1.2,2,2,3,9,8,4,0
Voska Sport,2023,33,10,12,11,37,1.1,41,1.2,4,3,4,8,12,2,0
KF Gostivari,2023,33,9,15,9,32,1.0,38,1.2,1,3,3,13,10,5,0
Detonit Plachkovica,2023,1,0,0,1,0,0.0,2,2.0,0,0,1,0,1,0,0
